ID_teirei,city_name,jis_code,type_teirei,year,time,start_date,final_date,mag
,倉敷市,33202,1,2011,4,20110613,20110628,42
,倉敷市,33202,1,2011,5,20110907,20110927,42
,倉敷市,33202,1,2011,6,20111130,20111216,42
,倉敷市,33202,2,2012,1,20120106,20120106,42
,倉敷市,33202,1,2012,2,20120221,20120316,43
,倉敷市,33202,1,2012,3,20120611,20120628,43
,倉敷市,33202,1,2012,4,20120905,20120924,43
,倉敷市,33202,1,2012,5,20121128,20121214,43
,倉敷市,33202,2,2013,1,20130108,20130108,43
,倉敷市,33202,2,2013,2,20130205,20130205,43
,倉敷市,33202,1,2013,3,20130220,20130318,43
,倉敷市,33202,1,2013,4,20130610,20130626,43
,倉敷市,33202,1,2013,5,20130910,20130930,43
,倉敷市,33202,1,2013,6,20131204,20131220,43
,倉敷市,33202,2,2014,1,20140108,20140108,43
,倉敷市,33202,1,2014,2,20140218,20140314,43
,倉敷市,33202,1,2014,3,20140606,20140624,43
,倉敷市,33202,1,2014,4,20140903,20140922,43
,倉敷市,33202,1,2014,5,20141203,20141219,43
,倉敷市,33202,2,2015,1,20150108,20150108,43
,倉敷市,33202,2,2015,2,20150204,20150205,43
,倉敷市,33202,1,2015,3,20150217,20150313,43
,倉敷市,33202,1,2015,4,20150615,20150702,43
,倉敷市,33202,1,2015,5,20150903,20150918,43
,倉敷市,33202,1,2015,6,20151202,20151218,43
,倉敷市,33202,2,2016,1,20160108,20160108,43
,倉敷市,33202,1,2016,2,20160219,20160316,43
,倉敷市,33202,1,2016,3,20160609,20160627,43
,倉敷市,33202,1,2016,4,20160907,20160927,43
,倉敷市,33202,1,2016,5,20161130,20161216,43
,倉敷市,33202,2,2017,1,20170106,20170106,43
,倉敷市,33202,2,2017,2,20170206,20170208,43
,倉敷市,33202,1,2017,3,20170217,20170315,43
,倉敷市,33202,1,2017,4,20170609,20170627,43
,倉敷市,33202,1,2017,5,20170905,20170922,43
,倉敷市,33202,1,2017,6,20171206,20171222,43
,倉敷市,33202,2,2018,1,20180109,20180109,42
,倉敷市,33202,1,2018,2,20180216,20180314,41
,倉敷市,33202,1,2018,3,20180607,20180625,41
,倉敷市,33202,1,2018,4,20180904,20180918,41
,倉敷市,33202,1,2018,5,20181205,20181221,41
,倉敷市,33202,2,2019,1,20190108,20190108,41
,倉敷市,33202,2,2019,2,20190204,20190204,41
,倉敷市,33202,1,2019,3,20190218,20190314,40
,倉敷市,33202,1,2019,1,20190610,20190626,40
,倉敷市,33202,1,2019,2,20190903,20191002,40
,倉敷市,33202,1,2019,3,20190903,20191220,40
,倉敷市,33202,2,2020,1,20200108,20200108,40
,倉敷市,33202,1,2020,2,20200218,20200316,40
,倉敷市,33202,2,2020,3,20200508,20200508,43
,倉敷市,33202,1,2020,4,20200610,20200630,43
,倉敷市,33202,1,2020,5,20200901,20200930,43
,倉敷市,33202,1,2020,6,20201125,20201215,43
,倉敷市,33202,2,2021,1,20210108,20210108,43
,倉敷市,33202,2,2021,2,20210203,20210203,43
,倉敷市,33202,1,2021,3,20210216,20210317,43
,倉敷市,33202,1,2021,4,20210607,20210625,43
,倉敷市,33202,1,2021,5,20210901,20210928,43
,倉敷市,33202,1,2021,6,20211130,20211220,43
,倉敷市,33202,2,2022,1,20220107,20220107,43
,倉敷市,33202,1,2022,2,20220215,20220316,43
,倉敷市,33202,1,2022,3,20220606,20220624,43
,倉敷市,33202,1,2022,4,20220905,20220930,43
,倉敷市,33202,1,2022,5,20221202,20221222,43
,倉敷市,33202,2,2023,1,20230106,20230106,43
,倉敷市,33202,2,2023,2,20230206,20230207,43
,倉敷市,33202,1,2023,3,20230217,20230322,42
