ID_teirei,city_name,jis_code,type_teirei,year,time,start_date,final_date,mag
262012011051620110519,福知山市,26201,2,2011,2,20110516,20110519,26
262012011060820110628,福知山市,26201,1,2011,3,20110608,20110628,26
262012011090720110929,福知山市,26201,1,2011,4,20110907,20110929,26
262012011120220111222,福知山市,26201,1,2011,5,20111202,20111222,26
262012012020720120207,福知山市,26201,2,2012,1,20120207,20120207,26
262012012030120120329,福知山市,26201,1,2012,2,20120301,20120329,26
262012012062720120720,福知山市,26201,1,2012,3,20120627,20120720,26
262012012090520120926,福知山市,26201,1,2012,4,20120905,20120926,26
262012012120320121225,福知山市,26201,1,2012,5,20121203,20121225,26
262012013022620130326,福知山市,26201,1,2013,1,20130226,20130326,26
262012013051320130516,福知山市,26201,2,2013,2,20130513,20130516,26
262012013060520130625,福知山市,26201,1,2013,3,20130605,20130625,26
262012013090220130926,福知山市,26201,1,2013,4,20130902,20130926,26
262012013102820131101,福知山市,26201,2,2013,5,20131028,20131101,26
262012013120220131224,福知山市,26201,1,2013,6,20131202,20131224,26
262012014022420140326,福知山市,26201,1,2014,1,20140224,20140326,26
262012014060520140626,福知山市,26201,1,2014,2,20140605,20140626,26
262012014090120141014,福知山市,26201,1,2014,3,20140901,20141014,26
262012014120120141222,福知山市,26201,1,2014,4,20141201,20141222,26
262012015011420150114,福知山市,26201,2,2015,1,20150114,20150114,26
262012015022520150326,福知山市,26201,1,2015,2,20150225,20150326,26
262012015051220150519,福知山市,26201,2,2015,3,20150512,20150519,26
262012015061120150703,福知山市,26201,1,2015,4,20150611,20150703,26
262012015090220151022,福知山市,26201,1,2015,5,20150902,20151022,26
262012015120120151224,福知山市,26201,1,2015,6,20151201,20151224,26
262012016022520160329,福知山市,26201,1,2016,1,20160225,20160329,26
262012016040620160406,福知山市,26201,2,2016,2,20160406,20160406,26
262012016063020160725,福知山市,26201,1,2016,3,20160630,20160725,26
262012016090120161020,福知山市,26201,1,2016,4,20160901,20161020,26
262012016120220161226,福知山市,26201,1,2016,5,20161202,20161226,26
262012017020820170210,福知山市,26201,2,2017,1,20170208,20170210,26
262012017022420170329,福知山市,26201,1,2017,2,20170224,20170329,26
262012017050920170512,福知山市,26201,2,2017,3,20170509,20170512,26
262012017060520170626,福知山市,26201,1,2017,4,20170605,20170626,26
262012017090120171020,福知山市,26201,1,2017,5,20170901,20171020,26
262012017110720171107,福知山市,26201,2,2017,6,20171107,20171107,26
262012017120120171225,福知山市,26201,1,2017,7,20171201,20171225,26
262012018022320180328,福知山市,26201,1,2018,1,20180223,20180328,26
262012018051120180511,福知山市,26201,2,2018,2,20180511,20180511,26
262012018060420180626,福知山市,26201,1,2018,3,20180604,20180626,26
262012018072020180720,福知山市,26201,2,2018,4,20180720,20180720,26
262012018090320181023,福知山市,26201,1,2018,5,20180903,20181023,26
262012018120320181226,福知山市,26201,1,2018,6,20181203,20181226,26
262012019022520190328,福知山市,26201,1,2019,1,20190225,20190328,26
262042011052320110523,宇治市,26204,2,2011,2,20110523,20110523,28
262042011061020110630,宇治市,26204,1,2011,3,20110610,20110630,28
262042011092020111018,宇治市,26204,1,2011,4,20110920,20111018,28
262042011120220111227,宇治市,26204,1,2011,5,20111202,20111227,28
262042012022020120329,宇治市,26204,1,2012,1,20120220,20120329,28
262042012060120120627,宇治市,26204,1,2012,2,20120601,20120627,28
262042012091820121016,宇治市,26204,1,2012,3,20120918,20121016,28
262042012122720130129,宇治市,26204,1,2012,4,20121227,20130129,28
262042013022020130328,宇治市,26204,1,2013,1,20130220,20130328,28
262042013052020130521,宇治市,26204,2,2013,2,20130520,20130521,28
262042013060320130627,宇治市,26204,1,2013,3,20130603,20130627,28
262042013091920131016,宇治市,26204,1,2013,4,20130919,20131016,28
262042013120220131225,宇治市,26204,1,2013,5,20131202,20131225,28
262042014022020140328,宇治市,26204,1,2014,1,20140220,20140328,28
262042014060520140627,宇治市,26204,1,2014,2,20140605,20140627,28
262042014091720141015,宇治市,26204,1,2014,3,20140917,20141015,28
262042014120320141225,宇治市,26204,1,2014,4,20141203,20141225,28
262042015022020150330,宇治市,26204,1,2015,1,20150220,20150330,28
262042015051920150520,宇治市,26204,2,2015,2,20150519,20150520,28
262042015061120150703,宇治市,26204,1,2015,3,20150611,20150703,28
262042015091520151015,宇治市,26204,1,2015,4,20150915,20151015,28
262042015120220151225,宇治市,26204,1,2015,5,20151202,20151225,28
262042016022220160330,宇治市,26204,1,2016,1,20160222,20160330,28
262042016060220160628,宇治市,26204,1,2016,2,20160602,20160628,28
262042016091620161013,宇治市,26204,1,2016,3,20160916,20161013,28
262042016103120161031,宇治市,26204,2,2016,4,20161031,20161031,28
262042016122720170127,宇治市,26204,1,2016,5,20161227,20170127,28
262042017022020170330,宇治市,26204,1,2017,1,20170220,20170330,28
262042017052220170522,宇治市,26204,2,2017,2,20170522,20170522,28
262042017060920170630,宇治市,26204,1,2017,3,20170609,20170630,28
262042017091920171011,宇治市,26204,1,2017,4,20170919,20171011,28
262042017120120171226,宇治市,26204,1,2017,5,20171201,20171226,28
262042018022020180329,宇治市,26204,1,2018,1,20180220,20180329,28
262042018060120180627,宇治市,26204,1,2018,2,20180601,20180627,28
262042018091820181016,宇治市,26204,1,2018,3,20180918,20181016,28
262042018120420181227,宇治市,26204,1,2018,4,20181204,20181227,28
262042019022020190328,宇治市,26204,1,2019,1,20190220,20190328,28
272092011052320110524,守口市,27209,2,2011,2,20110523,20110524,22
272092011062020110701,守口市,27209,1,2011,3,20110620,20110701,22
272092011092220111024,守口市,27209,1,2011,4,20110922,20111024,22
272092011120920111220,守口市,27209,1,2011,5,20111209,20111220,22
272092012022320120426,守口市,27209,1,2012,1,20120223,20120426,22
272092012051420120515,守口市,27209,1,2012,2,20120514,20120515,22
272092012062020120703,守口市,27209,1,2012,3,20120620,20120703,22
272092012092020121005,守口市,27209,1,2012,4,20120920,20121005,22
272092012120520121209,守口市,27209,1,2012,5,20121205,20121209,22
272092013022220130325,守口市,27209,1,2013,1,20130222,20130325,22
272092013051620130517,守口市,27209,2,2013,2,20130516,20130517,22
272092013061420130628,守口市,27209,1,2013,3,20130614,20130628,22
272092013091920131004,守口市,27209,1,2013,4,20130919,20131004,22
272092013120520131219,守口市,27209,1,2013,5,20131205,20131219,22
272092014022420140325,守口市,27209,1,2014,1,20140224,20140325,22
272092014052120140522,守口市,27209,2,2014,2,20140521,20140522,22
272092014061920140702,守口市,27209,1,2014,3,20140619,20140702,22
272092014091820221003,守口市,27209,1,2014,4,20140918,20221003,22
272092014120520141218,守口市,27209,1,2014,5,20141205,20141218,22
272092015022620150325,守口市,27209,1,2015,1,20150226,20150325,22
272092015052520150526,守口市,27209,2,2015,2,20150525,20150526,22
272092015061920150701,守口市,27209,1,2015,3,20150619,20150701,22
272092015092420151006,守口市,27209,1,2015,4,20150924,20151006,22
